JJ Bumrah,(INDIA),1
XJ Doherty,(AUS),1
WIA Fernando,(SL),1
PHT Kaushal,(SL),1
AW Mathieson,(NZ),1
Nasir Jamshed,(PAK),1
KAJ Roach,(WI),1
Saeed Ajmal,(PAK),1
Shafiul Islam,(BDESH),1
T Shamsi,(SA),1
I Sharma,(INDIA),1
CL White,(AUS),1
Abul Hasan,(BDESH),1
M de Lange,(SA),1
PLS Gamage,(SL),1
JS Paris,(AUS),1
JS Patel,(NZ),1
PADLR Sandakan,(SL),1
GS Sandhu,(AUS),1
BB Sran,(INDIA),1
Taijul Islam,(BDESH),1
